round_band,sort_order,control_pct,treatment_pct,control_players,treatment_players,diff_pp,is_gate_zone
0,1,4.333333333333334,4.521972344962518,1937,2057,0.18863901162918406,0
1-9,2,33.328859060402685,33.733430060014506,14898,15345,0.4045709996118205,0
10-19,3,15.94854586129754,16.27426410780628,7129,7403,0.3257182465087425,0
20-29,4,9.12751677852349,8.949416342412452,4080,4071,-0.17810043611103765,0
30-39,5,6.9127516778523495,6.1245575853503045,3090,2786,-0.788194092502045,1
40-49,6,5.004474272930649,4.376882323199015,2237,1991,-0.6275919497316336,1
50-99,7,11.545861297539151,12.064455143001606,5161,5488,0.5185938454624548,0
100-999,8,13.680089485458613,13.812130405152894,6115,6283,0.13204091969428156,0
1000+,9,0.1185682326621924,0.14289168810041988,53,65,0.02432345543822749,0
