iteration,effect_pp,in_95_ci,favours_treatment
421,-0.7759303414454799,1,0
422,-0.9044559928272355,1,0
423,-0.9728491038692,1,0
424,-1.3814302181765021,0,0
425,-0.45869722025872195,1,0
426,-1.0735336708734526,1,0
427,-0.8494066195810168,1,0
428,-1.2243918841062102,1,0
429,-0.8466650466865566,1,0
430,-0.5707480575361468,1,0
431,-0.8006940537730128,1,0
432,-0.6926264790617559,1,0
433,-1.1904214323663453,1,0
434,-0.7744304582227357,1,0
435,-0.7310458269946807,1,0
436,-0.9306285567083794,1,0
437,-0.5727001483211286,1,0
438,-0.6237020794613496,1,0
439,-0.520496805703155,1,0
440,-0.6130850131036925,1,0
441,-1.1073489114043515,1,0
442,-0.6840659612228683,1,0
443,-0.8675499541817094,1,0
444,-0.798973304409753,1,0
445,-0.7111578416848618,1,0
446,-0.5998054548477766,1,0
447,-1.1132723140825722,1,0
448,-0.7902456246889678,1,0
449,-0.5547911059256033,1,0
450,-0.6237408822635931,1,0
451,-0.7864951789362445,1,0
452,-1.0777109474508246,1,0
453,-0.8781923972769584,1,0
454,-0.90281432446018,1,0
455,-0.5510406601728773,1,0
456,-0.7700591676341545,1,0
457,-1.0384498885415316,1,0
458,-0.6101494261980284,1,0
459,-1.2367924039752372,1,0
460,-0.7469385990653971,1,0
461,-0.71371735124105,1,0
462,-1.0139726972860612,1,0
463,-0.8947821443962944,1,0
464,-0.5559417639281777,1,0
465,-0.9725521075159255,1,0
466,-1.0037675602966782,1,0
467,-0.8061383967596869,1,0
468,-0.6548145499000346,1,0
469,-0.6065810437835772,1,0
470,-0.8319751614853127,1,0
471,-0.9068990939766985,1,0
472,-1.058067729627385,1,0
473,-0.576941604438333,1,0
474,-0.9460437444792691,1,0
475,-1.0859476168071314,1,0
476,-0.34170647642375596,1,0
477,-1.0984137916077081,1,0
478,-1.2783921063002024,1,0
479,-1.1169183021015021,1,0
480,-0.6876477697019739,1,0
481,-1.036561977296377,1,0
482,-0.8920674236311404,1,0
483,-0.9927131878331524,1,0
484,-1.0480207546304077,1,0
485,-0.741713646827516,1,0
486,-0.6958068334537992,1,0
487,-0.7399675207266726,1,0
488,-1.2451066789360254,1,0
489,-0.7050926538623298,1,0
490,-0.6510655795390313,1,0
491,-0.5848693267684307,1,0
492,-0.9454348503163457,1,0
493,-0.859738640258334,1,0
494,-0.9013129658457159,1,0
495,-0.8608251187210841,1,0
496,-0.7378990215349657,1,0
497,-1.060097426016851,1,0
498,-1.3124416390362685,1,0
499,-0.5414578434110723,1,0
500,-0.4481592348972635,1,0
501,-0.7367095607301477,1,0
502,-0.8467172755534519,1,0
503,-0.9305121483016543,1,0
504,-0.39986007384925637,1,0
505,-1.17199305208531,1,0
506,-0.7227823055090676,1,0
507,-0.9052186228074022,1,0
508,-1.0554559912043042,1,0
509,-0.8834934797276012,1,0
510,-0.5083798561227509,1,0
511,-1.0222735461821952,1,0
512,-0.8098231875808604,1,0
513,-0.8791490412683289,1,0
514,-1.032863760410549,1,0
515,-0.8596490839809207,1,0
516,-0.5977220541996953,1,0
517,-0.8434578401652099,1,0
518,-0.6806259378880741,1,0
519,-0.9991261254841316,1,0
520,-0.5989771699360602,1,0
521,-0.4984478141407733,1,0
522,-0.8841531273656972,1,0
523,-1.1148617535827299,1,0
524,-0.7847117254248803,1,0
525,-0.5636874229200034,1,0
526,-0.5750536931931782,1,0
527,-0.7600375693747607,1,0
528,-1.0039884264371912,1,0
529,-0.7925737928234283,1,0
530,-0.7229375167180335,1,0
531,-1.2822216330491298,1,0
532,-1.1125216347753346,1,0
533,-0.6578023656725912,1,0
534,-1.0804913231475228,1,0
535,-1.063073291116473,1,0
536,-0.46295062704885814,1,0
537,-1.0578990923537672,1,0
538,-0.6683284003611178,1,0
539,-0.7307995841165815,1,0
540,-0.7058418577778447,1,0
541,-0.8937090919981988,1,0
542,-0.4571465835608024,1,0
543,-0.9207875463955378,1,0
544,-1.0048032852842503,1,0
545,-0.8248383966564077,1,0
546,-0.4955659314937244,1,0
547,-0.6614095508892859,1,0
548,-0.5418712481710664,1,0
549,-0.3833061787487213,1,0
550,-1.0761454092965306,1,0
551,-0.8209446903676532,1,0
552,-0.7850609506450473,1,0
553,-0.29596830032365684,0,0
554,-0.8022849686648931,1,0
555,-0.616951867263138,1,0
556,-0.5200431227491975,1,0
557,-0.8104052296144776,1,0
558,-0.8705885234294441,1,0
559,-1.3659508508657825,0,0
560,-1.294181896028851,1,0
561,-0.7261835260416238,1,0
562,-0.17829253211300577,0,0
563,-0.6990274660398033,1,0
564,-1.0777751269906544,1,0
565,-1.039149814373591,1,0
566,-1.3750038544608683,0,0
567,-0.9041709471468956,1,0
568,-0.7923006978160202,1,0
569,-0.7019376762078783,1,0
570,-1.364619604916656,0,0
571,-0.20318607891191554,0,0
572,0.2567193396264683,0,1
573,-1.114539380491869,1,0
574,-1.4338798036725748,0,0
575,-0.9003816985919316,1,0
576,-0.5457500530034493,1,0
577,-0.42965324901174384,1,0
578,-0.45570940448616537,1,0
579,-0.5751447248623143,1,0
580,-0.7514382487336352,1,0
581,-0.9611724111780989,1,0
582,-0.7431747272480194,1,0
583,-0.4535632996899769,1,0
584,-0.935155058505921,1,0
585,-0.8873857106246358,1,0
586,-1.153773587271853,1,0
587,-0.7217480559132156,1,0
588,-0.6503671290986918,1,0
589,-0.39705284602325197,1,0
590,-0.9807245973324025,1,0
591,-0.8544495084806258,1,0
592,-0.6416499246591212,1,0
593,-0.8546703746211359,1,0
594,-0.7275162473824703,1,0
595,-0.810651472492574,1,0
596,-0.5589415303736689,1,0
597,-0.4530722893254957,1,0
598,-0.937339966104353,1,0
599,-0.3125326707054038,0,0
