segment,n_control,n_treatment,control_rate,treatment_rate,absolute_diff_pp,relative_lift_pct,p_value,significant_at_0.05,metric,p_bonferroni,p_holm,p_fdr_bh,significant_raw,significant_after_correction,segment_sort,analysis_type
Low,14734,15329,0.014524229672865482,0.015526126948920346,0.10018972760548646,6.8981095632674645,0.475468456298651,False,7-day retention,1.0,0.475468456298651,0.475468456298651,0,0,1,Exploratory (post-treatment split)
Medium,14943,15120,0.08130897410158602,0.07486772486772486,-0.6441249233861163,-7.921941341694433,0.03739569367269381,True,7-day retention,0.11218708101808143,0.11218708101808143,0.0702547164498966,1,0,2,Exploratory (post-treatment split)
High,15023,15040,0.4708114224855222,0.459375,-1.1436422485522235,-2.4290877279796486,0.046836477633264394,True,7-day retention,0.14050943289979317,0.11218708101808143,0.0702547164498966,1,0,3,Exploratory (post-treatment split)
Low,14734,15329,0.083683996199267,0.08943831952508317,0.5754323325816171,6.876253031839048,0.07619077523224409,False,1-day retention,0.22857232569673225,0.22857232569673225,0.22857232569673228,0,0,1,Exploratory (post-treatment split)
Medium,14943,15120,0.43338017800977047,0.4263227513227513,-0.7057426687019142,-1.628460886104494,0.21650520605405343,False,1-day retention,0.6495156181621603,0.43301041210810687,0.32475780908108015,0,0,2,Exploratory (post-treatment split)
High,15023,15040,0.8204087066498036,0.8179521276595745,-0.2456578990229108,-0.29943355919036013,0.5800204984560303,False,1-day retention,1.0,0.5800204984560303,0.5800204984560303,0,0,3,Exploratory (post-treatment split)
