subgroup,gate_exposure,sort_order,players,control_rate,treatment_rate,abs_diff_pp,ci_low_pp,ci_high_pp,p_value,verdict,test_type
0 rounds (never played),Could not reach either gate,1,3994,0.008260196179659268,0.006319883325230919,-0.19403128544283488,-0.7229370845469546,0.3348745136612849,0.4703967288770825,Clean - no detectable difference,Falsification (effect must be 0)
<10 rounds,Could not reach either gate,2,34237,0.016929016929016927,0.016837145155729226,-0.009187177328770155,-0.2821652896987384,0.26379093504119805,0.9474047229574717,Clean - no detectable difference,Falsification (effect must be 0)
<20 rounds,Could not reach either gate,3,48769,0.030504089467534634,0.029348921588389438,-0.11551678791451962,-0.4180468971581575,0.18701332132911824,0.4540854891336401,Clean - no detectable difference,Falsification (effect must be 0)
<30 rounds,Could not reach either gate,4,56920,0.042575952075310224,0.039305998060673225,-0.3269954014636999,-0.6526823347794191,-0.0013084681479806626,0.04896787766058105,BORDERLINE - not a clean pass,Falsification (effect must be 0)
30-39 rounds,Could reach gate_30 only,5,5876,0.15728155339805824,0.1568557071069634,-0.04258462910948502,-1.9057335058530875,1.8205642476341175,0.9642707924842816,Partial exposure - descriptive only,Partial exposure
>=40 rounds,Could reach both gates,6,27393,0.502874834144184,0.4850654516525638,-1.7809382491620174,-2.964929293894757,-0.5969472044292777,0.003201606363935386,Effect concentrated here (selection risk - not causal),Selected subgroup - biased
ALL PLAYERS (ITT),Mixed,7,90189,0.19020134228187918,0.18200004396667327,-0.8201298315205913,-1.3281552418885545,-0.3121044211526281,0.001554249975614329,Primary causal estimate (intent-to-treat),Primary ITT estimate
