metric,metric_role,control_players,treatment_players,control_retained,treatment_retained,control_rate,treatment_rate,control_ci_low,control_ci_high,treatment_ci_low,treatment_ci_high,abs_diff_pp,relative_lift_pct,diff_ci_low_pp,diff_ci_high_pp,standard_error_pp,z_statistic,p_value,is_significant,impact_per_1m_players,impact_low_per_1m,impact_high_per_1m
7-day retention,Primary,44700,45489,8502,8279,0.19020134228187918,0.18200004396667327,0.18658979684366292,0.19386613051747012,0.17848120097823003,0.18557259139286594,-0.8201298315205913,-4.311903489646016,-1.3281552418885545,-0.3121044211526281,0.25920140082940446,-3.164358912748191,0.001554249975614329,1,-8201.298315205913,-13281.552418885545,-3121.044211526281
1-day retention,Secondary,44700,45489,20034,20119,0.4481879194630872,0.44228274967574577,0.44358236514774474,0.45280237833639625,0.43772374727049607,0.44685149948007,-0.5905169787341458,-1.317565585974659,-1.2392439449445216,0.058209987476230164,0.33098922803043906,-1.7840862247974725,0.07440965529691913,0,-5905.169787341458,-12392.439449445215,582.0998747623016
